Motorname,Stall Torque [Nm],Nominal Power [W],Nominal Torque  [Nm],Nominal speed [rpm],Peak torque 20C [Nm],Current at nominal power [Arms],Stall current [Arms],Peak current [Arms],Inertia [kgcm2],Voltage costant at 20�C [Vs/rad],Torque costant at 20�C and 0 rpm [Nm/Arms],Derating Temp. Coeff. Of Back EMF [%/�C],Winding Resistance at 20�C [Ohm],Winding Inductance 2[mH],bemf. at 1000 rpm a 20�C [V/krpm],Nominal voltage [Vrms],Weight [kg],Pole pairs
V88204,163,30159,144.0,2000,400,63.2,69.5,180,167,1.45,2.44,-0.11,0.16,2.81,152,322,78,4
V92204,145,26180,125.0,2000,305,54.4,58.7,130.3,224,1.56,2.62,-0.11,0.182,4.4,163,360,89,4
V94204,310,54454,260.0,2000,620,110.2,127.3,265,401,1.56,2.62,-0.11,0.07,2.13,163,356,126,4
V96204,440,73304,350.0,2000,840,135.5,158.3,319,577,1.75,2.95,-0.11,0.049,1.7,184,387,164,4
V98204,580,98437,470.0,2000,950,204.7,239.3,406,753,1.56,2.62,-0.11,0.027,1.06,163,348,203,4
V71304,8,1979,6.3,3000,15,3.9,4.8,9.1,5.23,1.05,1.76,-0.11,7.25,30.23,110,364,11.5,4
V72304,15,3958,12.6,3000,31,8.0,9.4,19.2,8.52,1.02,1.72,-0.11,2.19,12.4,107,338,14,4
V73304,23,6126,19.5,3000,45,12.2,13.8,27.8,11.82,1.04,1.75,-0.11,1.26,9.23,109,345,16.7,4
V74304,31,7540,24.0,3000,60,15.0,18.6,37.1,15.10,1.04,1.75,-0.11,0.849,6.39,109,336,19.1,4
V75304,37,8954,28.5,3000,75,17.8,22.2,46.4,18.40,1.04,1.75,-0.11,0.65,4.78,109,331,21.9,4
V76304,42,10367,33.0,3000,90,20.6,25.3,55.7,21.69,1.04,1.75,-0.11,0.515,4.09,109,330,24.3,4
V77304,48,11310,36.0,3000,106,22.7,29.1,66.0,24.98,1.03,1.73,-0.11,0.419,3.09,108,322,27.1,4
V78304,54,12252,39.0,3000,120,24.3,32.5,74.2,28.27,1.04,1.75,-0.11,0.361,2.94,109,324,29.5,4
V82304,45,13509,43.0,3000,100,27.4,27.9,66,49,1.00,1.68,-0.11,0.49,5.3,105,346,37,4
V84304,89,25133,80.0,3000,218,56.1,60.7,157,89,0.91,1.52,-0.11,0.15,2.19,95,306,49,4
V86304,130,34872,111.0,3000,300,64.9,73.9,180,128,1.09,1.83,-0.11,0.13,2.11,114,360,64,4
V88304,163,43040,137.0,3000,400,80.1,92.7,241,167,1.09,1.83,-0.11,0.09,1.49,114,351,78,4
V92284,145,34306,117.0,2800,305,67.9,78.3,174,224,1.17,1.96,-0.11,0.1,2.4,122,367,89,4
V94284,300,67440,230.0,2800,600,133.5,161.9,342,401,1.17,1.96,-0.11,0.038,1.2,122,363,126,4
V96284,440,87965,300.0,2800,750,174.2,237.5,428,577,1.17,1.96,-0.11,0.022,0.8,122,353,164,4
V98284,580,93829,320.0,2800,880,185.8,313.1,502,753,1.17,1.96,-0.11,0.015,0.6,122,341,203,4
